InvoiceId,productID,Quantity,Row_Total,,,
( 4000,1010,15,108.99),,,
( 4001,1017,15,105.62),,,
( 4002,1044,15,103.24),,,
( 4003,1030,15,100.63),,,
( 4004,1148,13,100.27),,,
( 4005,1069,13,98.21),,,
( 4006,1174,11,94.6),,,
( 4007,1043,11,91.81),,,
( 4008,1024,11,91.65),,,
( 4009,1009,10,88.86),,,
( 4010,1068,10,81.73),,,
( 4011,1116,10,73.84),,,
( 4012,1076,9,72.),,,
( 4013,1096,8,67.62),,,
( 4014,1104,8,61.61),,,
( 4015,1020,8,57.01),,,
( 4016,1029,8,56.39),,,
( 4017,1060,7,56.1),,,
( 4018,1143,7,55.34),,,
( 4019,1071,6,52.25),,,
( 4020,1161,6,43.84),,,
( 4021,1120,5,43.72),,,
( 4022,1035,5,41.62),,,
( 4023,1109,4,34.94),,,
( 4024,1144,4,27.27),,,
( 4025,1055,4,22.73),,,
( 4026,1000,4,21.56),,,
( 4027,1082,4,15.97),,,
( 4028,1036,3,14.91),,,
( 4029,1023,3,12.94),,,
( 4030,1015,3,9.3),,,
( 4031,1058,1,8.73),,,
( 4032,1019,1,6.94),,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
